File_name	Tissue	Antibody	ReplicateChar	Experiment	Experiment_label	BufferNum	BufferChar	Inj_Vol
197T_IgG_buffer_10_Rep_b	197T	IgG	repeat_b	97T_IgG_buffer_10_Rep_b	197T_IgG_Buffer10	10	10_HEPESNa_MgCl2	5
197T_IgG_13	197T	IgG	a	97T_IgG_13	197T_IgG_Buffer11	11	11_HEPESNA_MgCl2	5
197T_IgG_14	197T	IgG	b	97T_IgG_14	197T_IgG_Buffer11	11	11_HEPESNA_MgCl2	5
197T_IgG_15	197T	IgG	c	97T_IgG_15	197T_IgG_Buffer11	11	11_HEPESNA_MgCl2	5
197T_IgG_16	197T	IgG	d	97T_IgG_16	197T_IgG_Buffer11	11	11_HEPESNA_MgCl2	5
197T_IgG_17	197T	IgG	a	97T_IgG_17	197T_IgG_Buffer13	13	13_HEPESK_KAcet	5
197T_IgG_18	197T	IgG	b	97T_IgG_18	197T_IgG_Buffer13	13	13_HEPESK_KAcet	5
197T_IgG_19	197T	IgG	c	97T_IgG_19	197T_IgG_Buffer13	13	13_HEPESK_KAcet	5
197T_IgG_20	197T	IgG	d	97T_IgG_20	197T_IgG_Buffer13	13	13_HEPESK_KAcet	5
197T_IgG_21	197T	IgG	a	97T_IgG_21	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_IgG_22	197T	IgG	b	97T_IgG_22	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_IgG_23	197T	IgG	c	97T_IgG_23	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_IgG_24	197T	IgG	d	97T_IgG_24	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_IgG_buffer_17_Rep_a	197T	IgG	repeat_a	97T_IgG_buffer_17_Rep_a	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_IgG_buffer_17_Rep_b	197T	IgG	repeat_b	97T_IgG_buffer_17_Rep_b	197T_IgG_Buffer17	17	17_TRISCl_Na3Cit	5
197T_aORF1_1	197T	Orf1	a	97T_aORF1_1	197T_Orf1_Buffer1	1	1_NH4Acet_NaCl	5
197T_aORF1_2	197T	Orf1	b	97T_aORF1_2	197T_Orf1_Buffer1	1	1_NH4Acet_NaCl	5
